ID,Latitude,Longitude,Structure
751,41.339413,-96.04992704,CEDAR
752,41.33941401,-96.04993198,CEDAR
753,41.33924603,-96.04941398,CEDAR
754,41.33921896,-96.04937903,CEDAR
755,41.33930898,-96.04914702,CEDAR
756,41.33945097,-96.04930602,CEDAR
757,41.33942801,-96.04937903,CEDAR
758,41.340003,-96.04943301,CEDAR
759,41.34002597,-96.04941901,CEDAR
760,41.34005103,-96.04934701,CEDAR
761,41.34003703,-96.04931599,CEDAR
762,41.34005497,-96.04922497,CEDAR
763,41.34026703,-96.04958799,CEDAR
764,41.340275,-96.04959603,CEDAR
765,41.340233,-96.04914702,CEDAR
766,41.34018598,-96.049058,CEDAR
767,41.34016603,-96.04901399,CEDAR
768,41.34032504,-96.048886,CEDAR
769,41.340348,-96.04887201,CEDAR
770,41.340377,-96.04883404,CEDAR
771,41.34041598,-96.04880503,CEDAR
772,41.34038698,-96.04860504,CEDAR
773,41.34039704,-96.04857302,CEDAR
774,41.34040098,-96.04854402,CEDAR
775,41.34039402,-96.04853396,CEDAR
776,41.34014499,-96.04853698,CEDAR
777,41.34009596,-96.04852198,CEDAR
778,41.340074,-96.04852701,CEDAR
779,41.34016201,-96.04841804,CEDAR
780,41.34035404,-96.04810598,CEDAR
781,41.34037499,-96.048095,CEDAR
782,41.34037198,-96.04807598,CEDAR
783,41.33862804,-96.05085097,CEDAR
784,41.35065104,-96.054077,CEDAR
785,41.35065196,-96.05414498,CEDAR
786,41.35082102,-96.05423399,CEDAR
787,41.35084198,-96.05420499,CEDAR
788,41.35078599,-96.05410298,CEDAR
789,41.350817,-96.05408303,CEDAR
790,41.350774,-96.05402696,CEDAR
791,41.350888,-96.05403299,CEDAR
792,41.350932,-96.05402604,CEDAR
793,41.35095698,-96.05410399,CEDAR
794,41.35102596,-96.05421002,CEDAR
795,41.35101398,-96.05423299,CEDAR
796,41.35097802,-96.05429099,CEDAR
797,41.35099696,-96.05427297,CEDAR
798,41.35144497,-96.05447397,CEDAR
799,41.35140399,-96.05461403,CEDAR
800,41.35164496,-96.05447598,CEDAR
801,41.35167003,-96.05447003,CEDAR
802,41.35178201,-96.05442703,CEDAR
803,41.35189097,-96.05341902,CEDAR
804,41.351695,-96.05322104,CEDAR
805,41.35206498,-96.05336102,CEDAR
806,41.35251299,-96.05270002,CEDAR
807,41.35252599,-96.05270103,CEDAR
808,41.352572,-96.05268703,CEDAR
809,41.35286001,-96.05270304,CEDAR
810,41.35286302,-96.05277898,CEDAR
811,41.353564,-96.05376796,CEDAR
812,41.35358303,-96.053674,CEDAR
813,41.35365603,-96.05394297,CEDAR
814,41.35389701,-96.05364801,CEDAR
815,41.35400598,-96.05362597,CEDAR
816,41.35403004,-96.05364097,CEDAR
817,41.35401101,-96.053358,CEDAR
818,41.354167,-96.05323596,CEDAR
819,41.35425601,-96.05324602,CEDAR
820,41.35418401,-96.053157,CEDAR
821,41.35427504,-96.05341902,CEDAR
822,41.354311,-96.05345699,CEDAR
823,41.35440102,-96.05382596,CEDAR
824,41.35446103,-96.05382001,CEDAR
825,41.35464099,-96.053718,CEDAR
826,41.35466496,-96.05372597,CEDAR
827,41.35467301,-96.05372597,CEDAR
828,41.35469003,-96.05376704,CEDAR
829,41.35478097,-96.05362203,CEDAR
830,41.35483503,-96.05365204,CEDAR
831,41.35489396,-96.05369302,CEDAR
832,41.355002,-96.053703,CEDAR
833,41.35503603,-96.053704,CEDAR
834,41.35508498,-96.05371398,CEDAR
835,41.35519596,-96.05377701,CEDAR
836,41.35524097,-96.05390199,CEDAR
837,41.35530601,-96.05379503,CEDAR
838,41.35540098,-96.05376201,CEDAR
839,41.35545596,-96.05376301,CEDAR
840,41.35548396,-96.053718,CEDAR
841,41.35552998,-96.05375597,CEDAR
842,41.35561598,-96.053775,CEDAR
843,41.35572997,-96.05388002,CEDAR
844,41.355778,-96.05391003,CEDAR
845,41.355821,-96.053919,CEDAR
846,41.35588202,-96.053502,CEDAR
847,41.35578504,-96.05352899,CEDAR
848,41.35468801,-96.05335599,CEDAR
849,41.35447604,-96.053373,CEDAR
850,41.35443203,-96.05334702,CEDAR
851,41.35411603,-96.05277102,CEDAR
852,41.35410497,-96.05274,CEDAR
853,41.35414998,-96.05268502,CEDAR
854,41.35407899,-96.052697,CEDAR
855,41.35402501,-96.05269801,CEDAR
856,41.35368101,-96.05277797,CEDAR
857,41.35360901,-96.052667,CEDAR
858,41.35358102,-96.05252199,CEDAR
859,41.35356702,-96.05251,CEDAR
860,41.35360197,-96.05240699,CEDAR
861,41.35367104,-96.05113604,CEDAR
862,41.35347901,-96.05128096,CEDAR
863,41.35280896,-96.05204104,CEDAR
864,41.34090104,-96.04645098,CEDAR
865,41.35013698,-96.05423902,CEDAR
866,41.35010202,-96.05439199,CEDAR
867,41.350112,-96.05447003,CEDAR
868,41.340937,-96.04642499,CEDAR
869,41.34094798,-96.04636196,CEDAR
870,41.34103096,-96.04623598,CEDAR
871,41.34106801,-96.04620899,CEDAR
872,41.34108603,-96.04631402,CEDAR
873,41.34111101,-96.04628501,CEDAR
874,41.34112299,-96.04621897,CEDAR
875,41.34116801,-96.04609299,CEDAR
876,41.34118401,-96.04605401,CEDAR
877,41.34067196,-96.04688298,CEDAR
878,41.34120899,-96.04602199,CEDAR
879,41.34131997,-96.04588,CEDAR
880,41.34133204,-96.04601897,CEDAR
881,41.34133003,-96.04609299,CEDAR
882,41.34132097,-96.04613598,CEDAR
883,41.34130497,-96.04619097,CEDAR
884,41.34129399,-96.046225,CEDAR
885,41.34123003,-96.04650102,CEDAR
886,41.34120799,-96.04651401,CEDAR
887,41.340663,-96.04677603,CEDAR
888,41.34120002,-96.04657704,CEDAR
889,41.341182,-96.04662498,CEDAR
890,41.34115501,-96.04665499,CEDAR
891,41.34112903,-96.04663898,CEDAR
892,41.34107899,-96.04668701,CEDAR
893,41.34106901,-96.04659699,CEDAR
894,41.34109299,-96.04657897,CEDAR
895,41.34093298,-96.04689002,CEDAR
896,41.34112199,-96.04648199,CEDAR
897,41.34093398,-96.04689999,CEDAR
898,41.34072804,-96.04668198,CEDAR
899,41.34090297,-96.04690804,CEDAR
900,41.34089501,-96.04697501,CEDAR
901,41.340909,-96.04698499,CEDAR
902,41.34091403,-96.04700603,CEDAR
903,41.34089098,-96.04705397,CEDAR
904,41.34090297,-96.04708599,CEDAR
905,41.340952,-96.04715497,CEDAR
906,41.340994,-96.04708901,CEDAR
907,41.34101696,-96.04699899,CEDAR
908,41.34021599,-96.05135799,CEDAR
909,41.34021901,-96.05140904,CEDAR
910,41.34022898,-96.05138901,CEDAR
911,41.34017902,-96.05187298,CEDAR
912,41.34017198,-96.05193601,CEDAR
913,41.34015799,-96.05198001,CEDAR
914,41.34020098,-96.052006,CEDAR
915,41.34021599,-96.05206802,CEDAR
916,41.34030702,-96.05208202,CEDAR
917,41.34031699,-96.05211404,CEDAR
918,41.34075302,-96.04656598,CEDAR
919,41.34004802,-96.05201103,CEDAR
920,41.34002103,-96.05155497,CEDAR
921,41.33980603,-96.05088299,CEDAR
922,41.33936397,-96.05048502,CEDAR
923,41.33950302,-96.05057102,CEDAR
924,41.33954401,-96.05066003,CEDAR
925,41.339542,-96.05069197,CEDAR
926,41.33963504,-96.05070496,CEDAR
927,41.33967502,-96.05069398,CEDAR
928,41.34079501,-96.046555,CEDAR
929,41.339671,-96.05064704,CEDAR
930,41.33952096,-96.05043699,CEDAR
931,41.33941401,-96.05031998,CEDAR
932,41.33943597,-96.05021403,CEDAR
933,41.33947897,-96.050137,CEDAR
934,41.33945399,-96.05015201,CEDAR
935,41.33945701,-96.05007598,CEDAR
936,41.33945298,-96.050036,CEDAR
937,41.33946296,-96.04996299,CEDAR
938,41.34084597,-96.04653002,CEDAR
939,41.33941401,-96.04993299,CEDAR
940,41.33946698,-96.04994698,CEDAR
941,41.33950797,-96.04983903,CEDAR
942,41.33954502,-96.04980701,CEDAR
943,41.339456,-96.04974196,CEDAR
944,41.33935802,-96.04960299,CEDAR
945,41.33934301,-96.04956703,CEDAR
946,41.33933698,-96.04947701,CEDAR
947,41.34061798,-96.04696596,CEDAR
948,41.35263998,-96.05833903,ISLAND
949,41.34544102,-96.055142,TREE
950,41.35266596,-96.05571499,TREE
953,41.35345101,-96.05534501,STRUCTURE
954,41.35013999,-96.05388002,ROCK PILE
955,41.34136297,-96.04727198,ROCK PILE
956,41.341397,-96.04722898,ROCK PILE
957,41.34140203,-96.04773299,ROCK PILE
958,41.34150898,-96.04794497,ROCK PILE
959,41.34153002,-96.04811101,ROCK PILE
960,41.33948802,-96.04994296,ROCK PILE
961,41.34134796,-96.04847504,ROCK PILE
962,41.33950998,-96.04977801,ROCK PILE
963,41.34015203,-96.04836599,ROCK PILE
964,41.339297,-96.05100797,ROOTWAD
965,41.33940202,-96.05073304,ROOTWAD
966,41.34225698,-96.0554,SHOAL
967,41.34265596,-96.05509096,SHOAL
968,41.34302703,-96.05488703,SHOAL
969,41.34163102,-96.05594499,SHOAL
970,41.34437601,-96.05489197,SHOAL
971,41.35315496,-96.05711502,SHOAL
972,41.352585,-96.05687002,SHOAL
973,41.35292002,-96.05585698,SHOAL
974,41.35376802,-96.055716,SHOAL
975,41.35442499,-96.05529799,SHOAL
976,41.34393998,-96.05617499,SHOAL
977,41.34128703,-96.04716696,TREE
978,41.34121503,-96.04723401,TREE
979,41.34031598,-96.05056004,TREE
980,41.35213899,-96.05309397,TREE
981,41.35368797,-96.05822101,SHOAL
982,41.34163102,-96.05594499,SHOAL
983,41.34417803,-96.05753596,SHOAL
984,41.34423796,-96.057227,SHOAL
985,41.34437299,-96.05547401,SHOAL
986,41.35342796,-96.05750704,SHOAL
987,41.35332,-96.05605597,SHOAL
988,41.35416901,-96.05570996,SHOAL
