Waterbody Name,Waterbody Code,Lat,Lon,Structure Name,Year Installed
Hershey ,4295,41.13456,-100.9865,Trees,2016
Hershey ,4295,41.13458,-100.9866,Trees,2016
Hershey ,4295,41.13453,-100.9866,Trees,2016
Hershey ,4295,41.13456,-100.9867,Trees,2016
Hershey ,4295,41.13467,-100.9890,Trees,2016
Hershey ,4295,41.13458,-100.9893,Trees,2016
Hershey ,4295,41.13464,-100.9894,Trees,2016
Hershey ,4295,41.13458,-100.9895,Trees,2016
Hershey ,4295,41.135,-100.9898,Trees,2016
Hershey ,4295,41.13469,-100.9901,Trees,2016
Hershey ,4295,41.13492,-100.9904,Trees,2016
Hershey ,4295,41.13461,-100.9908,Trees,2016
Hershey ,4295,41.11586,-100.8307,Trees,2016
Hershey ,4295,41.13456,-100.9865,Trees,2016
Hershey ,4295,41.13458,-100.9865,Trees,2016
Hershey ,4295,41.1346,-100.9910,Trees,2016
Hershey ,4295,41.13583,-100.9894,Mossbacks,2019
Hershey ,4295,41.13472,-100.9893,Mossbacks,2019
